Days to Deliver,Comments,Approved By,Manufacturer,Return Reason,Row ID,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Discount,Region,Order Date,Ship Date
6,keyboard didn't connect to computer,L Jenkins,Belkin,Defective,436,US-2015-150574,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,Jacksonville,Florida,32216,TEC-AC-10002600,Technology,Accessories,Belkin QODE FastFit Bluetooth Keyboard,247.8,5,-18.585,0.2,South,19-12-2015,25-12-2015
120,Customer didn't realize item was in the cart.,S Kelly,Avery,Incorrect Product Ordered,1320,CA-2015-160773,Standard Class,LW-16825,Laurel Workman,Corporate,United States,Deltona,Florida,32725,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,5.184,6,-3.6288,0.7,South,07-01-2015,07-05-2015
7,customer didn't realize item was in the cart,E Williams,Nortel,Incorrect Product Ordered,3268,CA-2015-143840,Standard Class,EH-14185,Evan Henry,Consumer,United States,Decatur,Alabama,35601,TEC-PH-10002660,Technology,Phones,Nortel Networks T7316 E Nt8 B27,135.98,2,33.995,0,South,22-05-2015,29-05-2015
2,Customer thought phone was removed from cart.,C Arnold,Other,Incorrect Product Ordered,3483,CA-2015-124688,First Class,CC-12610,Corey Catlett,Corporate,United States,Springfield,Virginia,22153,TEC-PH-10000455,Technology,Phones,GE 30522EE2,579.95,5,168.1855,0,South,27-08-2015,29-08-2015
4,customer didn't know item was in cart,C Arnold,Other,Incorrect Product Ordered,7431,US-2015-164763,Standard Class,MH-17440,Mark Haberlin,Corporate,United States,Jackson,Mississippi,39212,OFF-PA-10003063,Office Supplies,Paper,EcoTones Memo Sheets,16,4,7.68,0,South,17-03-2015,21-03-2015
4,,,Belkin,Incorrect Product Ordered,7432,US-2015-164763,Standard Class,MH-17440,Mark Haberlin,Corporate,United States,Jackson,Mississippi,39212,OFF-AP-10003971,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,32.67,3,8.4942,0,South,17-03-2015,21-03-2015
4,,,Avery,Incorrect Product Ordered,6976,CA-2016-112144,Standard Class,CY-12745,Craig Yedwab,Corporate,United States,Gilbert,Arizona,85234,OFF-LA-10000443,Office Supplies,Labels,Avery 501,5.904,2,1.9926,0.2,West,28-06-2016,02-07-2016
4,,,Avery,Incorrect Product Ordered,6976,CA-2016-112144,Standard Class,CY-12745,Craig Yedwab,Corporate,United States,Gilbert,Arizona,85234,OFF-LA-10000443,Office Supplies,Labels,Avery 501,5.904,2,1.9926,0.2,West,28-06-2016,02-07-2016
7,Customer bought comperable item at local store,R Chen,Eldon,No Longer Needed,463,CA-2017-109869,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,85023,FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,23.56,5,7.068,0.2,West,22-04-2017,29-04-2017
7,Customer bought comperable item at local store,R Chen,Eldon,No Longer Needed,463,CA-2017-109869,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,85023,FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,23.56,5,7.068,0.2,West,22-04-2017,29-04-2017
7,Customer bought comperable item at local store,R Chen,Eldon,No Longer Needed,463,CA-2017-109869,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,85023,FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,23.56,5,7.068,0.2,West,22-04-2017,29-04-2017
7,Customer bought comperable item at local store,R Chen,Eldon,No Longer Needed,463,CA-2017-109869,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,85023,FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,23.56,5,7.068,0.2,West,22-04-2017,29-04-2017
7,Customer bought comperable item at local store,R Chen,Eldon,No Longer Needed,463,CA-2017-109869,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,85023,FUR-FU-10000023,Furniture,Furnishings,Eldon Wave Desk Accessories,23.56,5,7.068,0.2,West,22-04-2017,29-04-2017
4,Customer meant to order something else,E Williams,Newell,Incorrect Product Ordered,5434,CA-2018-129707,Standard Class,LH-16750,Larry Hughes,Consumer,United States,Chandler,Arizona,85224,OFF-AR-10000246,Office Supplies,Art,Newell 318,8.896,4,0.6672,0.2,West,25-04-2018,29-04-2018
6,customer bought other solution elsewhere,R Chen,Akro,No Longer Needed,6971,CA-2018-153822,Standard Class,AB-10105,Adrian Barton,Consumer,United States,Phoenix,Arizona,85023,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,12.624,2,-2.5248,0.2,West,19-09-2018,25-09-2018
6,customer bought other solution elsewhere,R Chen,Akro,No Longer Needed,6971,CA-2018-153822,Standard Class,AB-10105,Adrian Barton,Consumer,United States,Phoenix,Arizona,85023,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,12.624,2,-2.5248,0.2,West,19-09-2018,25-09-2018
6,customer bought other solution elsewhere,R Chen,Akro,No Longer Needed,6971,CA-2018-153822,Standard Class,AB-10105,Adrian Barton,Consumer,United States,Phoenix,Arizona,85023,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,12.624,2,-2.5248,0.2,West,19-09-2018,25-09-2018
6,customer bought other solution elsewhere,R Chen,Akro,No Longer Needed,6971,CA-2018-153822,Standard Class,AB-10105,Adrian Barton,Consumer,United States,Phoenix,Arizona,85023,OFF-ST-10000321,Office Supplies,Storage,Akro Stacking Bins,12.624,2,-2.5248,0.2,West,19-09-2018,25-09-2018
5,customer never received this item. Bought a different set at Target.,R Chen,Fellowes,General,4350,CA-2018-169894,Second Class,MV-17485,Mark Van Huff,Consumer,United States,Mesa,Arizona,85204,OFF-ST-10000060,Office Supplies,Storage,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,415.872,8,-41.5872,0.2,West,24-11-2018,29-11-2018
5,customer never received this item. Bought a different set at Target.,R Chen,Fellowes,General,4350,CA-2018-169894,Second Class,MV-17485,Mark Van Huff,Consumer,United States,Mesa,Arizona,85204,OFF-ST-10000060,Office Supplies,Storage,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,415.872,8,-41.5872,0.2,West,24-11-2018,29-11-2018
7,one ring wouldn't open,M Gomez,Cardinal,Defective,3297,US-2016-110569,Standard Class,EB-13870,Emily Burns,Consumer,United States,Phoenix,Arizona,85023,OFF-BI-10001036,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binders,19.194,7,-12.796,0.7,West,23-05-2016,30-05-2016
7,one ring wouldn't open,M Gomez,Cardinal,Defective,3297,US-2016-110569,Standard Class,EB-13870,Emily Burns,Consumer,United States,Phoenix,Arizona,85023,OFF-BI-10001036,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binders,19.194,7,-12.796,0.7,West,23-05-2016,30-05-2016
6,,,Newell,Incorrect Product Ordered,2548,US-2016-128090,Standard Class,JM-15865,John Murray,Consumer,United States,Phoenix,Arizona,85023,OFF-AR-10002255,Office Supplies,Art,Newell 346,2.304,1,0.2592,0.2,West,16-08-2016,22-08-2016
6,,,Newell,Incorrect Product Ordered,2548,US-2016-128090,Standard Class,JM-15865,John Murray,Consumer,United States,Phoenix,Arizona,85023,OFF-AR-10002255,Office Supplies,Art,Newell 346,2.304,1,0.2592,0.2,West,16-08-2016,22-08-2016
6,,,Newell,Incorrect Product Ordered,2548,US-2016-128090,Standard Class,JM-15865,John Murray,Consumer,United States,Phoenix,Arizona,85023,OFF-AR-10002255,Office Supplies,Art,Newell 346,2.304,1,0.2592,0.2,West,16-08-2016,22-08-2016
6,,,Newell,Incorrect Product Ordered,2548,US-2016-128090,Standard Class,JM-15865,John Murray,Consumer,United States,Phoenix,Arizona,85023,OFF-AR-10002255,Office Supplies,Art,Newell 346,2.304,1,0.2592,0.2,West,16-08-2016,22-08-2016
4,,,Eldon,Incorrect Product Ordered,8623,US-2017-114230,Standard Class,CM-12235,Chris McAfee,Consumer,United States,Phoenix,Arizona,85023,OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office,39.808,4,3.9808,0.2,West,27-11-2017,01-12-2017
5,,,RCA,No Longer Needed,9462,CA-2015-100867,Standard Class,EH-14125,Eugene Hildebrand,Home Office,United States,Lakewood,California,90712,TEC-PH-10004922,Technology,Phones,RCA Visys Integrated PBX 8-Line Router,321.552,6,20.097,0.2,West,19-10-2015,24-10-2015
6,Customer didn't know item was in the cart.,S Kelly,Xerox,Incorrect Product Ordered,6019,CA-2015-102652,Standard Class,AY-10555,Andy Yotov,Corporate,United States,Los Angeles,California,90049,OFF-PA-10001977,Office Supplies,Paper,Xerox 194,55.48,1,26.6304,0,West,06-04-2015,12-04-2015
6,Customer didn't know item was in the cart.,S Kelly,Xerox,Incorrect Product Ordered,6019,CA-2015-102652,Standard Class,AY-10555,Andy Yotov,Corporate,United States,Los Angeles,California,90049,OFF-PA-10001977,Office Supplies,Paper,Xerox 194,55.48,1,26.6304,0,West,06-04-2015,12-04-2015
6,Customer didn't know item was in the cart.,S Kelly,Xerox,Incorrect Product Ordered,6019,CA-2015-102652,Standard Class,AY-10555,Andy Yotov,Corporate,United States,Los Angeles,California,90049,OFF-PA-10001977,Office Supplies,Paper,Xerox 194,55.48,1,26.6304,0,West,06-04-2015,12-04-2015
6,Customer didn't know item was in the cart.,S Kelly,Xerox,Incorrect Product Ordered,6019,CA-2015-102652,Standard Class,AY-10555,Andy Yotov,Corporate,United States,Los Angeles,California,90049,OFF-PA-10001977,Office Supplies,Paper,Xerox 194,55.48,1,26.6304,0,West,06-04-2015,12-04-2015
7,Customer didn't realize item was in cart,L Jenkins,Hon,Incorrect Product Ordered,5780,CA-2015-105270,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Los Angeles,California,90008,FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,112.648,1,11.2648,0.2,West,11-11-2015,18-11-2015
7,Customer didn't realize item was in cart,L Jenkins,Hon,Incorrect Product Ordered,5780,CA-2015-105270,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Los Angeles,California,90008,FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,112.648,1,11.2648,0.2,West,11-11-2015,18-11-2015
5,custmer ordered too many,S Kelly,Acme,No Longer Needed,8367,CA-2015-109918,Second Class,LR-17035,Lisa Ryan,Corporate,United States,Santa Clara,California,95051,OFF-SU-10004290,Office Supplies,Supplies,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",27.36,4,7.3872,0,West,07-09-2015,12-09-2015
5,custmer ordered too many,S Kelly,Acme,No Longer Needed,8367,CA-2015-109918,Second Class,LR-17035,Lisa Ryan,Corporate,United States,Santa Clara,California,95051,OFF-SU-10004290,Office Supplies,Supplies,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",27.36,4,7.3872,0,West,07-09-2015,12-09-2015
5,custmer ordered too many,S Kelly,Acme,No Longer Needed,8367,CA-2015-109918,Second Class,LR-17035,Lisa Ryan,Corporate,United States,Santa Clara,California,95051,OFF-SU-10004290,Office Supplies,Supplies,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",27.36,4,7.3872,0,West,07-09-2015,12-09-2015
4,cust didn't realize item was in cart,L Jenkins,Other,Incorrect Product Ordered,4040,CA-2015-110786,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,San Francisco,California,94110,TEC-MA-10003183,Technology,Machines,DYMO CardScan Personal V9 Business Card Scanner,767.952,6,287.982,0.2,West,29-12-2015,02-01-2016
4,cust didn't realize item was in cart,L Jenkins,Other,Incorrect Product Ordered,4040,CA-2015-110786,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,San Francisco,California,94110,TEC-MA-10003183,Technology,Machines,DYMO CardScan Personal V9 Business Card Scanner,767.952,6,287.982,0.2,West,29-12-2015,02-01-2016
4,cust didn't realize item was in cart,L Jenkins,Other,Incorrect Product Ordered,4040,CA-2015-110786,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,San Francisco,California,94110,TEC-MA-10003183,Technology,Machines,DYMO CardScan Personal V9 Business Card Scanner,767.952,6,287.982,0.2,West,29-12-2015,02-01-2016
4,cust didn't realize item was in cart,L Jenkins,Other,Incorrect Product Ordered,4040,CA-2015-110786,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,San Francisco,California,94110,TEC-MA-10003183,Technology,Machines,DYMO CardScan Personal V9 Business Card Scanner,767.952,6,287.982,0.2,West,29-12-2015,02-01-2016
4,cust didn't realize item was in cart,L Jenkins,Other,Incorrect Product Ordered,4040,CA-2015-110786,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,San Francisco,California,94110,TEC-MA-10003183,Technology,Machines,DYMO CardScan Personal V9 Business Card Scanner,767.952,6,287.982,0.2,West,29-12-2015,02-01-2016
4,cust didn't realize item was in cart,L Jenkins,Other,Incorrect Product Ordered,4040,CA-2015-110786,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,San Francisco,California,94110,TEC-MA-10003183,Technology,Machines,DYMO CardScan Personal V9 Business Card Scanner,767.952,6,287.982,0.2,West,29-12-2015,02-01-2016
4,cust didn't realize item was in cart,L Jenkins,Other,Incorrect Product Ordered,4040,CA-2015-110786,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,San Francisco,California,94110,TEC-MA-10003183,Technology,Machines,DYMO CardScan Personal V9 Business Card Scanner,767.952,6,287.982,0.2,West,29-12-2015,02-01-2016
3,,,Bush,General,6152,CA-2015-111871,Second Class,EK-13795,Eileen Kiefer,Home Office,United States,San Francisco,California,94110,FUR-BO-10004218,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",1198.33,10,70.49,0.15,West,18-03-2015,21-03-2015
4,Customer didn't realize wishlist item was in the cart.,S Kelly,Newell,Incorrect Product Ordered,7197,CA-2015-116785,Standard Class,MH-17290,Marc Harrigan,Home Office,United States,Los Angeles,California,90036,OFF-AR-10003504,Office Supplies,Art,Newell 347,21.4,5,6.206,0,West,26-04-2015,30-04-2015
4,Customer didn't realize wishlist item was in the cart.,S Kelly,Newell,Incorrect Product Ordered,7197,CA-2015-116785,Standard Class,MH-17290,Marc Harrigan,Home Office,United States,Los Angeles,California,90036,OFF-AR-10003504,Office Supplies,Art,Newell 347,21.4,5,6.206,0,West,26-04-2015,30-04-2015
4,,,Boston,Defective,1162,CA-2015-126522,Second Class,LT-16765,Larry Tron,Consumer,United States,Escondido,California,92025,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",53.94,3,15.6426,0,West,01-09-2015,05-09-2015
0,"customer didn't realize that the item was in the cart, rather than wishlist.",S Kelly,Xerox,Incorrect Product Ordered,1652,CA-2015-135699,Same Day,HH-15010,Hilary Holden,Corporate,United States,San Francisco,California,94110,OFF-PA-10003001,Office Supplies,Paper,Xerox 1986,13.36,2,6.4128,0,West,29-08-2015,29-08-2015
0,"customer didn't realize that the item was in the cart, rather than wishlist.",S Kelly,Xerox,Incorrect Product Ordered,1652,CA-2015-135699,Same Day,HH-15010,Hilary Holden,Corporate,United States,San Francisco,California,94110,OFF-PA-10003001,Office Supplies,Paper,Xerox 1986,13.36,2,6.4128,0,West,29-08-2015,29-08-2015
2,custmer didn't know item was in cart,R. Duchesne,Wilson Jones,Incorrect Product Ordered,5970,CA-2015-141726,First Class,CC-12145,Charles Crestani,Consumer,United States,San Diego,California,92105,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,8.704,2,3.1552,0.2,West,20-07-2015,22-07-2015
2,customer didn't know item was in cart,R. Duchesne,Xerox,Incorrect Product Ordered,5971,CA-2015-141726,First Class,CC-12145,Charles Crestani,Consumer,United States,San Diego,California,92105,OFF-PA-10002230,Office Supplies,Paper,Xerox 1897,19.92,4,9.7608,0,West,20-07-2015,22-07-2015
2,custmer didn't know item was in cart,R. Duchesne,Wilson Jones,Incorrect Product Ordered,5970,CA-2015-141726,First Class,CC-12145,Charles Crestani,Consumer,United States,San Diego,California,92105,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,8.704,2,3.1552,0.2,West,20-07-2015,22-07-2015
2,customer didn't know item was in cart,R. Duchesne,Xerox,Incorrect Product Ordered,5971,CA-2015-141726,First Class,CC-12145,Charles Crestani,Consumer,United States,San Diego,California,92105,OFF-PA-10002230,Office Supplies,Paper,Xerox 1897,19.92,4,9.7608,0,West,20-07-2015,22-07-2015
